feature,importance
IAN,0.7862754817121205
diff_ranking_fase_turma,0.018667276437334592
inde_x_idade,0.01789346421421787
Fase ideal,0.014427414837322603
Nº Av,0.014002400484943105
Idade 22,0.01383282382591903
Cf,0.012429020569072632
idade_ingresso,0.01026555759085501
IPV,0.010019931166595669
std_academica,0.009908209677899947
anos_x_inde,0.007082561179515937
ratio_engajamento_aprendizagem,0.0062395904525139045
std_indicadores,0.005998856614009071
Matem,0.005749462721991934
IEG,0.0052928579255310595
Portug,0.004475730906633892
Rec Av3,0.004404948961274948
academica_x_engajamento,0.0035701404542426416
media_indicadores,0.0035562142184506944
Inglês,0.0034529364828665894
IAA,0.003013456878945599
Ct,0.0028048705105628777
evolucao_pedra_20_21,0.0025961318868900204
Rec Psicologia,0.0019110290569378022
diff_ranking_geral_fase,0.001765952406270029
media_academica,0.001723419269770774
Rec Av2,0.0016412707103489656
evolucao_pedra_total,0.0016261058228977765
Rec Av2_positiva,0.0015883156471462065
max_indicadores,0.0015874200369841967
Pedra_20_num,0.001566689950785983
Pedra 22,0.0015198340419727066
INDE 22,0.0013163644296815197
Instituição de ensino,0.0012415724018766526
Cg,0.0012377984089313098
IDA,0.0012217180251079117
ratio_aprendizagem_adequacao,0.0011566903589190639
percentil_ranking_geral,0.0011420613406396428
Pedra 20,0.0010834586357701052
prop_rec_positivas,0.001057299023216129
min_indicadores,0.0010566810797129754
Rec Av4,0.000977847455498267
evolucao_pedra_21_22,0.000939278851469689
total_rec_positivas,0.0009289764959730805
IPS,0.0009146860597299685
Pedra_21_num,0.0006241290368828685
Pedra 21,0.0005942162136541839
Rec Av1,0.0005182368051238996
anos_na_instituicao,0.000495971200667258
Ano ingresso,0.00043568194256178713
Gênero,0.0004341628905233272
requer_atencao_psico,0.0004133217676238286
Indicado,0.0002724098818242368
Rec Av1_positiva,0.0002628545025329997
Rec Av4_positiva,0.0002244010945607653
Rec Av3_positiva,0.00018682465344452292
Atingiu PV,0.00015938961702498998
Destaque IDA,0.00012425059361087675
Destaque IPV,3.15262408795059e-05
Pedra_22_num,3.0113344152285183e-05
Destaque IEG,2.870099558183889e-05
